Timestamps,z-Value
1414010231734,9.92
1414010231784,10.07
1414010231834,10
1414010231885,10
1414010231936,9.94
1414010231986,9.98
1414010232037,10.05
1414010232088,10.05
1414010232139,10.02
1414010232190,10.05
1414010232241,10.01
1414010232295,10.01
1414010232346,10.06
1414010232396,9.92
1414010232447,10
1414010232497,10
1414010232548,10.02
1414010232599,9.95
1414010232649,10.06
1414010232699,10.06
1414010232750,9.98
1414010232801,9.95
1414010232851,9.91
1414010232906,9.99
1414010232956,9.99
1414010233007,9.95
1414010233058,9.74
1414010233113,9.74
1414010233164,10.01
1414010233215,9.95
1414010233265,9.95
1414010233315,9.94
1414010233366,9.94
1414010233417,9.92
1414010233467,10.01
1414010233522,9.91
1414010233573,9.91
1414010233624,9.94
1414010233674,9.92
1414010233725,9.93
1414010233778,9.94
1414010233829,9.94
1414010233879,9.92
1414010233930,9.87
1414010233982,9.87
1414010234033,9.89
1414010234084,9.83
1414010234135,9.95
1414010234185,9.85
1414010234236,9.85
1414010234287,9.79
1414010234338,9.85
1414010234388,9.9
1414010234439,9.9
1414010234489,9.9
1414010234540,9.89
1414010234590,9.9
1414010234641,9.9
1414010234692,9.89
1414010234751,9.84
1414010234804,9.93
1414010234864,9.91
1414010234929,9.91
1414010234982,9.82
1414010235032,9.96
1414010235084,9.88
1414010235139,9.9
1414010235199,9.93
1414010235242,9.93
1414010235293,9.91
1414010235343,9.88
1414010235394,9.93
1414010235445,9.93
1414010235496,10
1414010235547,9.9
1414010235598,9.91
1414010235648,9.91
1414010235710,9.91
1414010235761,9.95
1414010235811,10
1414010235866,10
1414010235916,10.01
1414010235967,9.96
1414010236017,9.93
1414010236068,9.94
1414010236119,9.94
1414010236175,9.92
1414010236225,9.96
1414010236286,9.96
1414010236337,9.97
1414010236388,9.97
1414010236439,9.95
1414010236489,9.95
1414010236540,10.01
1414010236590,10.01
1414010236641,9.95
1414010236692,9.95
1414010236742,10.04
1414010236795,10.04
1414010236845,10.01
1414010236900,10
1414010236951,9.94
1414010237001,9.94
1414010237053,9.97
1414010237104,9.95
1414010237154,9.96
1414010237207,9.94
1414010237258,9.94
1414010237310,9.98
1414010237360,9.93
1414010237410,9.95
1414010237478,9.95
1414010237529,9.93
1414010237579,9.97
1414010237635,9.88
1414010237685,9.87
1414010237736,9.87
1414010237786,10.01
1414010237837,9.96
1414010237888,9.93
1414010237938,9.93
1414010237989,9.95
1414010238040,9.99
1414010238098,9.95
1414010238150,9.96
1414010238200,9.96
1414010238253,9.94
1414010238304,9.97
1414010238355,9.92
1414010238406,9.92
1414010238457,9.92
1414010238508,9.92
1414010238558,9.99
1414010238613,9.99
1414010238664,9.99
1414010238714,9.92
1414010238765,9.99
1414010238821,9.92
1414010238889,9.92
1414010238939,9.95
1414010238990,9.92
1414010239041,9.96
1414010239092,9.97
1414010239142,9.97
1414010239193,9.94
1414010239244,9.8
1414010239302,9.8
1414010239353,9.87
1414010239405,9.96
1414010239455,9.93
1414010239505,9.94
1414010239556,9.94
1414010239607,9.94
1414010239657,9.94
1414010239708,10
1414010239761,9.95
1414010239812,9.95
1414010239862,9.91
1414010239913,9.9
1414010239967,9.9
1414010240019,9.93
1414010240072,9.94
1414010240123,10.02
1414010240174,9.96
1414010240224,9.92
1414010240275,9.92
1414010240326,9.94
1414010240377,9.89
1414010240429,9.89
1414010240480,9.96
1414010240531,9.96
1414010240583,9.91
1414010240634,9.9
1414010240685,9.9
1414010240735,9.95
1414010240786,9.91
1414010240836,9.99
1414010240887,9.99
1414010240938,9.96
1414010240989,9.91
1414010241042,9.89
1414010241092,9.89
1414010241143,9.97
1414010241197,10.01
1414010241247,9.95
1414010241305,10.02
1414010241356,10.02
1414010241413,9.82
1414010241470,9.92
1414010241516,9.92
