Timestamps, z-Value
1414009366721, 10.04
1414009366772, 10.04
1414009366823, 10.01
1414009366874, 10.06
1414009366924, 10.04
1414009366975, 10.04
1414009367026, 10.04
1414009367077, 10.05
1414009367127, 10.03
1414009367177, 10.03
1414009367228, 10.03
1414009367278, 10.05
1414009367329, 10.02
1414009367380, 10.02
1414009367431, 10.04
1414009367482, 10.04
1414009367533, 10.04
1414009367584, 10.04
1414009367635, 10.05
1414009367685, 10.05
1414009367736, 10.02
1414009367793, 10.02
1414009367843, 10.05
1414009367893, 10.08
1414009367944, 10.12
1414009367995, 9.95
1414009368045, 9.95
1414009368096, 10.09
1414009368146, 10.52
1414009368197, 9.76
1414009368248, 9.76
1414009368299, 10.32
1414009368350, 9.74
1414009368400, 9.84
1414009368451, 9.84
1414009368501, 10.36
1414009368552, 9.83
1414009368603, 9.93
1414009368653, 9.93
1414009368703, 10.1
1414009368754, 10.2
1414009368805, 9.19
1414009368856, 9.19
1414009368907, 10.54
1414009368957, 9.59
1414009369007, 9.96
1414009369058, 9.96
1414009369109, 10.11
1414009369159, 9.83
1414009369210, 10.3
1414009369260, 10.3
1414009369311, 9.82
1414009369362, 10.21
1414009369413, 9.84
1414009369464, 9.84
1414009369515, 10.1
1414009369565, 10.05
1414009369616, 9.99
1414009369675, 9.99
1414009369725, 9.86
1414009369776, 10.11
1414009369836, 9.99
1414009369892, 10.11
1414009369942, 9.72
1414009369996, 9.72
1414009370046, 10.27
1414009370097, 9.83
1414009370158, 9.83
1414009370214, 10
1414009370276, 10
1414009370327, 9.99
1414009370377, 10.26
1414009370428, 10.02
1414009370479, 10.07
1414009370530, 10.07
1414009370581, 10.05
1414009370631, 9.84
1414009370682, 9.88
1414009370732, 9.88
1414009370783, 10.16
1414009370834, 9.95
1414009370890, 10.18
1414009370941, 10.18
1414009370991, 10.1
1414009371042, 9.98
1414009371094, 10.07
1414009371149, 10.07
1414009371199, 9.91
1414009371250, 9.99
1414009371301, 10.07
1414009371353, 10.14
1414009371403, 10.14
1414009371454, 9.83
1414009371505, 10.04
1414009371565, 10.04
1414009371631, 10.12
1414009371680, 9.81
1414009371730, 9.92
1414009371781, 10.07
1414009371832, 9.97
1414009371886, 9.92
1414009371950, 9.92
1414009372011, 10.08
1414009372062, 10.02
1414009372112, 9.81
1414009372163, 10.15
1414009372214, 10.15
1414009372277, 10
1414009372328, 10.17
1414009372378, 10.04
1414009372430, 10.07
1414009372481, 10.07
1414009372532, 9.97
1414009372583, 10.2
1414009372633, 10.2
1414009372693, 9.98
1414009372744, 9.98
1414009372794, 10.12
1414009372845, 10.05
1414009372896, 10.01
1414009372947, 10.01
1414009372997, 10.13
1414009373048, 9.98
1414009373099, 10.04
1414009373155, 10.04
1414009373206, 10.05
1414009373256, 10.06
1414009373307, 10.01
1414009373359, 10.01
1414009373410, 9.94
1414009373460, 10.02
1414009373511, 10.15
1414009373565, 10.15
1414009373615, 9.95
1414009373667, 10.11
1414009373717, 10.02
1414009373767, 10.06
1414009373818, 10.06
1414009373869, 9.89
1414009373920, 10.13
1414009373973, 10.13
1414009374024, 9.99
1414009374075, 10.11
1414009374125, 10.02
1414009374177, 10.16
1414009374228, 10.16
1414009374278, 10.06
1414009374328, 9.97
1414009374379, 10.1
1414009374429, 10.1
1414009374480, 9.93
1414009374530, 10.26
1414009374581, 10.06
1414009374631, 10.06
1414009374682, 10.07
1414009374733, 9.89
1414009374783, 9.97
1414009374835, 9.97
1414009374885, 10.18
1414009374936, 10.17
1414009374987, 9.92
1414009375041, 9.99
1414009375092, 9.99
1414009375142, 10.05
1414009375193, 9.83
1414009375244, 10.05
1414009375294, 10.05
1414009375345, 9.78
1414009375396, 9.98
1414009375447, 9.98
1414009375498, 9.93
1414009375549, 10.07
1414009375605, 10.12
1414009375656, 10.05
1414009375706, 10.05
1414009375758, 10.01
1414009375809, 9.92
1414009375860, 10.05
1414009375911, 10.05
1414009375961, 9.81
1414009376014, 10.1
1414009376064, 10.19
1414009376115, 10.02
1414009376165, 10.02
1414009376215, 9.9
1414009376266, 10.16
1414009376318, 9.95
1414009376369, 9.95
1414009376420, 10.16
1414009376471, 9.98
1414009376522, 9.91
1414009376578, 9.91
1414009376629, 10.05
